# Synthetic JUMP activity-results packet

The data are synthetic but intentionally shaped like jx/JUMP metadata.

Join keys: compound_metadata.jcp_id -> activity_results.jcp_id; activity_results.qc_plate_id -> plate_qc.qc_plate_id.

## TABLE compound_metadata
jcp_id,compound_name,inchi_key_stub,primary_target,target_confidence,moa_note,structure_alerts
JCP2022_RND0366,Abplatkoxan,RND-00366,GPCR,0.346,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0116,Lerldsymycin,RND-00116,unknown,0.635,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0669,Rruruvhvir,RND-00669,unknown,0.354,microtubule morphology; rounded cells at high concentration,cytotoxic
JCP2022_RND0470,Hrrlddwnib,RND-00470,mitochondrial,0.863,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0114,Ccmcdlhxan,RND-00114,mitochondrial,0.285,"uncurated vendor note, no target confidence assigned",pains
JCP2022_RND0361,Wvfotnib,RND-00361,mitochondrial,0.241,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0794,Yikzsxvir,RND-00794,kinase,0.729,HDAC-like chromatin texture shift with low respiratory specificity,pains
JCP2022_RND0129,Axuumtgdstat,RND-00129,kinase,0.426,HDAC-like chromatin texture shift with low respiratory specificity,none
JCP2022_RND0451,Voavndione,RND-00451,unknown,0.411,HDAC-like chromatin texture shift with low respiratory specificity,pains
JCP2022_RND0307,Tnmowtmycin,RND-00307,epigenetic,0.232,"proteasome stress signature, broad toxicity at high dose",cytotoxic
JCP2022_RND0684,Afphtxan,RND-00684,epigenetic,0.327,"proteasome stress signature, broad toxicity at high dose",cytotoxic
JCP2022_RND0430,Nuwwjyhfnib,RND-00430,GPCR,0.651,kinase-biased morphology; weak mitochondrial follow-up recommended,pains
JCP2022_RND0012,Txipyfdazole,RND-00012,kinase,0.238,"uncurated vendor note, no target confidence assigned",cytotoxic
JCP2022_RND0834,Vvyzdafexan,RND-00834,GPCR,0.701,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0040,Ayudjlhjmycin,RND-00040,unknown,0.263,DNA damage response signature in nuclear texture features,pains
JCP2022_RND0351,Dzabhxan,RND-00351,GPCR,0.196,reported Complex III / cytochrome bc1 activity; not a Complex I call,none
JCP2022_RND0314,Wmwmxrwtvir,RND-00314,unknown,0.255,"uncurated vendor note, no target confidence assigned",none
JCP2022_RND0240,Kpevuaxan,RND-00240,unknown,0.179,"oxidative phosphorylation modulation, target family unresolved",none
JCP2022_RND0367,Jbktbqemycin,RND-00367,epigenetic,0.289,"oxidative phosphorylation modulation, target family unresolved",cytotoxic
JCP2022_RND0478,Twtnjxan,RND-00478,mitochondrial,0.58,"proteasome stress signature, broad toxicity at high dose",cytotoxic
JCP2022_RND0826,Ddmntrcnib,RND-00826,epigenetic,0.75,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0124,Fzwncjponib,RND-00124,GPCR,0.296,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0668,Ufacuufxdione,RND-00668,unknown,0.844,"proteasome stress signature, broad toxicity at high dose",pains
JCP2022_RND0646,Zvkzivir,RND-00646,kinase,0.214,microtubule morphology; rounded cells at high concentration,none
JCP2022_RND0282,Aldrwdione,RND-00282,unknown,0.287,DNA damage response signature in nuclear texture features,none
JCP2022_RND0865,Ovqcmwpxan,RND-00865,mitochondrial,0.678,"proteasome stress signature, broad toxicity at high dose",none
JCP2022_RND0255,Klwdxvstat,RND-00255,kinase,0.317,kinase-biased morphology; weak mitochondrial follow-up recommended,none
JCP2022_RND0141,Pcrdrdmycin,RND-00141,unknown,0.74,kinase-biased morphology; weak mitochondrial follow-up recommended,pains
JCP2022_RND0642,Uxmsksirxan,RND-00642,epigenetic,0.724,"uncurated vendor note, no target confidence assigned",pains
JCP2022_RND0777,Vvlaqcqgxan,RND-00777,epigenetic,0.597,HDAC-like chromatin texture shift with low respiratory specificity,none
